year,Country_no,Country,GDP_G,INF,UNEMP,TRADE,POPTOL,GDP_CAPG,CPI_S,CPI_R,INC1,INC50
2014,11,new zealand,3.815427603,1.227507506,5.429999828,55.16462686,4516500,2.105283063,91,2,0.1039,0.0506
2015,11,new zealand,3.744332198,0.292704628,5.409999847,54.87702671,4609400,1.653420483,91,1,0.1096,0.0506
2016,11,new zealand,3.767447717,0.646240284,5.150000095,52.48994548,4714100,1.462776247,90,1,0.1117,0.0507
2017,11,new zealand,3.578278276,1.850787675,4.739999771,54.1811667,4813600,1.437253121,89,1,0.1177,0.0504
2018,11,new zealand,3.359219548,1.598297038,4.329999924,55.78776928,4900600,1.524290743,87,2,0.1194,0.0503
2019,11,new zealand,2.192477216,1.619631902,4.110000134,54.33886785,4979200,0.57930066,87,1,0.1187,0.0504
2020,11,new zealand,-1.252664529,1.7145617,4.590000153,44.22141026,5090200,-3.406009042,88,1,0.1187,0.0503
2021,11,new zealand,3.71401012,3.941120608,4.124000072,49.10124637,5122600,3.058028016,88,1,0.1187,0.0504
1995,12,china,10.95395434,16.79122517,3,34.27696906,1204855000,9.754954889,21.6,40,0.0938,0.16
1996,12,china,9.922556753,8.313160289,3.119999886,33.81474547,1217550000,8.776429811,24.3,50,0.0965,0.1537
1997,12,china,9.236779892,2.786465055,3.230000019,34.53301736,1230075000,8.124497577,28.8,41,0.0965,0.149
1998,12,china,7.845951787,-0.773186012,3.24000001,32.42430463,1241935000,6.816064564,35,52,0.0994,0.1453
1999,12,china,7.6616515,-1.401472683,3.25,33.52416176,1252735000,6.733485658,34,58,0.1002,0.1424
2000,12,china,8.490093406,0.347811227,3.25999999,39.41101485,1262645000,7.638597676,31,63,0.1046,0.14
2001,12,china,8.335733478,0.719125609,3.799999952,38.52735928,1271850000,7.551654832,35,57,0.1096,0.138
2002,12,china,9.13363079,-0.731970902,4.239999771,42.74740363,1280400000,8.404879975,35,59,0.1265,0.1363
2003,12,china,10.03803048,1.127603487,4.579999924,51.803988,1288400000,9.354776644,34,66,0.1323,0.1201
2004,12,china,10.11362138,3.824637431,4.489999771,59.50552422,1296075000,9.46155877,34,71,0.1393,0.1078
2005,12,china,11.39459181,1.776414077,4.519999981,62.20789287,1303720000,10.74137513,32,78,0.143,0.0981
2006,12,china,12.72095567,1.649430995,4.429999828,64.4788839,1311020000,12.09330469,33,70,0.1487,0.0903
2007,12,china,14.23086093,4.816767674,4.349999905,62.19336348,1317885000,13.6358205,35,72,0.1538,0.0839
2008,12,china,9.650678919,5.92525137,4.590000153,57.61271534,1324655000,9.090280101,36,72,0.1529,0.0785
2009,12,china,9.398725633,-0.728165251,4.71999979,45.18487038,1331260000,8.855947676,36,79,0.1552,0.074
2010,12,china,10.63587106,3.175324753,4.53000021,50.71707766,1337705000,10.10283262,35,78,0.152,0.0701
2011,12,china,9.550832179,5.553898923,4.550000191,50.74090459,1345035000,8.953816042,36,75,0.1467,0.0658
2012,12,china,7.863736449,2.619524326,4.570000172,48.26752237,1354190000,7.134523777,39,79,0.1383,0.0662
2013,12,china,7.766150098,2.621050017,4.590000153,46.74437558,1363240000,7.050734134,40,79,0.1389,0.0661
2014,12,china,7.425763656,1.921641628,4.610000134,44.90521595,1371860000,6.750760316,36,99,0.1374,0.0657
2015,12,china,7.041328879,1.437023809,4.630000114,39.46416934,1379860000,6.420736477,37,83,0.14,0.0644
2016,12,china,6.848762205,2.000001822,4.53000021,36.89441502,1387790000,6.238215448,40,79,0.1405,0.0644
2017,12,china,6.947200793,1.593136001,4.440000057,37.63241324,1396215000,6.301863101,41,77,0.1516,0.0626
2018,12,china,6.749773833,2.0747904,4.28000021,37.5657841,1402760000,6.251700556,39,87,0.1485,0.0631
2019,12,china,5.950500754,2.899234164,4.519999981,35.89009603,1407745000,5.575316863,41,80,0.1466,0.0634
2020,12,china,2.239701857,2.419421895,5,34.75429578,1411100000,1.996619014,42,78,0.1556,0.0619
2021,12,china,8.109792581,0.981015136,4.816999912,37.46895824,1412360000,8.01334526,45,66,0.1572,0.0617
1995,13,nepal,3.468451889,7.622969507,1.738000035,59.4905184,22305571,1.098920323,28,90,0.1795,0.046
1996,13,nepal,5.328284176,9.220466624,1.82099998,58.4577687,22783969,3.116692311,28,90,0.1759,0.0464
1997,13,nepal,5.048612536,4.009988605,1.83099997,64.03553489,23249417,2.945563389,28,90,0.1726,0.0466
1998,13,nepal,3.016389481,11.24446778,1.781000018,56.70960129,23703328,1.043659223,28,90,0.169,0.0469
1999,13,nepal,4.412573275,7.45111261,1.850000024,52.56698125,24143157,2.510432735,28,90,0.1666,0.0472
2000,13,nepal,6.199999985,2.478820207,1.855000019,55.710589,24559500,4.399652804,28,90,0.1637,0.0474
2001,13,nepal,4.799892146,2.688303735,1.746000051,55.79992108,24956071,3.134541938,28,90,0.1605,0.0475
2002,13,nepal,0.120143179,3.029399487,1.54400003,46.2307185,25332178,-1.366341192,28,90,0.1594,0.0475
2003,13,nepal,3.945037761,5.707009319,1.595000029,44.24788362,25682908,2.525547293,28,90,0.1594,0.0476
2004,13,nepal,4.682603249,2.841811312,1.55400002,46.14728672,26003965,3.390143328,28,90,0.1567,0.0478
2005,13,nepal,3.479181044,6.836332659,1.457999945,44.06294748,26285110,2.372369836,25,117,0.1548,0.0479
2006,13,nepal,3.364614787,6.920335807,1.393000007,44.76198776,26518971,2.453080468,25,124,0.1539,0.0481
2007,13,nepal,3.411560275,2.269219244,1.33099997,44.57927502,26713655,2.657916634,25,131,0.1538,0.0482
2008,13,nepal,6.104639147,9.907830053,1.330000043,46.03620635,26881544,5.441961372,27,121,0.147,0.0484
2009,13,nepal,4.533078721,11.09482374,1.550999999,47.07944776,27026941,3.970721477,23,143,0.144,0.0485
2010,13,nepal,4.816414651,9.326504107,1.820000052,45.98490577,27161567,4.296893276,22,154,0.1458,0.0485
2011,13,nepal,3.421828238,9.227075461,2.029999971,36.29675203,27266399,3.024199013,22,154,0.1432,0.0486
2012,13,nepal,4.670122149,9.459809804,2.329999924,37.92190606,27330694,4.423887439,27,138,0.1427,0.0486
2013,13,nepal,3.525153174,9.040163119,2.551000118,41.86537574,27381555,3.332856103,31,115,0.1419,0.0478
2014,13,nepal,6.011482841,8.364154697,2.944000006,45.98264161,27462106,5.700533238,29,125,0.1402,0.0478
2015,13,nepal,3.976053274,7.868908956,3.099999905,46.66573039,27610325,3.417884305,27,130,0.1375,0.0477
2016,13,nepal,0.433113718,8.79034332,2.868000031,42.11548612,27861186,-0.471182005,29,131,0.137,0.0479
2017,13,nepal,8.977279354,3.627096107,3.318000078,44.64241062,28183426,7.731269075,31,122,0.1372,0.0478
2018,13,nepal,7.622376108,4.061163388,3.193000078,48.44738695,28506712,6.401863287,31,124,0.1372,0.0478
2019,13,nepal,6.657055428,5.568685478,3.096999884,49.24952659,28832496,5.451916541,34,113,0.1372,0.0477
2020,13,nepal,-2.369620627,5.052366553,4.723999977,40.91886559,29348627,-4.086568589,33,117,0.1372,0.0479
2021,13,nepal,4.246940141,4.087910459,5.052000046,43.81122818,30034989,1.864680626,33,117,0.1372,0.048
1995,14,singapore,7.175401121,1.720533848,3.299999952,345.4592639,3524506,3.968567752,92.6,3,0.1004,0.0494
1996,14,singapore,7.47139086,1.383180525,3.569999933,334.9111633,3670704,3.190985139,88,7,0.1016,0.0491
1997,14,singapore,8.316209111,2.003586185,2.5,323.8644221,3796038,4.739926747,86.6,9,0.1048,0.0485
1998,14,singapore,-2.191015006,-0.267502293,3.410000086,312.0792557,3927213,-5.457986674,91,7,0.1126,0.0487
1999,14,singapore,5.718371757,0.016709834,4.849999905,336.4848464,3958723,4.876891842,91,7,0.1295,0.048
2000,14,singapore,9.038316326,1.361623924,3.700000048,364.3645205,4027887,7.165988202,91,6,0.1344,0.0477
2001,14,singapore,-1.070862751,0.997197956,3.75999999,349.2921057,4138012,-3.703665952,92,4,0.1525,0.0449
2002,14,singapore,3.923360767,-0.391676867,5.650000095,349.746014,4175950,2.979229621,93,5,0.1525,0.0452
2003,14,singapore,4.548255426,0.5079053,5.929999828,377.2185643,4114826,6.101275546,94,5,0.1443,0.0467
2004,14,singapore,9.939982684,1.662727199,5.840000153,401.5237125,4166664,8.572205292,93,5,0.1381,0.0473
2005,14,singapore,7.366322393,0.425106277,5.590000153,420.4305129,4265762,4.872093269,94,5,0.1382,0.0481
2006,14,singapore,9.006766079,0.962901778,4.480000019,425.3633995,4401365,5.648343294,94,5,0.1445,0.0475
2007,14,singapore,9.021519513,2.104880036,3.900000095,394.2884719,4588599,4.572986271,93,4,0.1428,0.0477
2008,14,singapore,1.863483455,6.627781774,3.960000038,437.3267149,4839396,-3.415492694,92,4,0.1535,0.0451
2009,14,singapore,0.127953383,0.596720257,5.860000134,358.1928118,4987573,-2.846771949,92,3,0.1385,0.0471
2010,14,singapore,14.51974971,2.823661349,4.119999886,369.6855558,5076732,12.50852155,93,1,0.1359,0.0474
2011,14,singapore,6.214934169,5.247793398,3.890000105,379.0986314,5183688,4.023381649,92,5,0.1404,0.0469
2012,14,singapore,4.435497594,4.575602704,3.720000029,369.2129658,5312437,1.904462237,87,5,0.1376,0.047
2013,14,singapore,4.817630991,2.358604154,3.859999895,367.04178,5399162,3.133979149,86,5,0.1376,0.0459
2014,14,singapore,3.935540277,1.02514803,3.74000001,360.4673192,5469724,2.594723155,84,7,0.1421,0.0445
2015,14,singapore,2.976799316,-0.522618167,3.789999962,329.4713989,5535002,1.762324686,85,7,0.1421,0.044
2016,14,singapore,3.56169799,-0.53226874,4.079999924,303.3309646,5607283,2.22673004,84,7,0.1421,0.0445
2017,14,singapore,4.661435049,0.57626031,4.199999809,316.3857623,5612253,4.568750821,84,6,0.1421,0.0439
2018,14,singapore,3.661304994,0.438620118,3.642999887,324.3204113,5638676,3.175545099,85,3,0.1421,0.0437
2019,14,singapore,1.095672567,0.565260569,3.099999905,321.8074112,5703569,-0.054554857,85,4,0.1421,0.0437
2020,14,singapore,-4.143105621,-0.181916667,4.099999905,331.7279339,5685807,-3.843656456,85,3,0.1027,0.043
2021,14,singapore,7.613962615,2.30485959,3.624000072,338.3097538,5453566,12.19672081,85,4,0.1027,0.0425
1995,15,mongolia,6.376426886,0.043516101,6.047999859,82.10365876,2330334,5.060652354,43,43,0.1484,0.0489
1996,15,mongolia,2.235093843,46.88995215,6.156000137,77.97407569,2357033,1.077038453,43,43,0.1493,0.049
1997,15,mongolia,3.896713584,36.55611489,6.124000072,99.991449,2381771,2.817601906,43,43,0.1503,0.0491
1998,15,mongolia,3.339936599,9.357042177,6.144999981,107.3512108,2405148,2.335517039,43,43,0.1512,0.0492
1999,15,mongolia,3.070369011,7.564941503,6.159999847,112.2413385,2428488,2.079768105,43,43,0.1531,0.0491
2000,15,mongolia,1.146062137,11.59553876,6.227000237,121.8866098,2450979,0.217912168,40.4,51.4,0.155,0.049
2001,15,mongolia,2.952710543,6.277360205,6.212999821,115.8183269,2472601,2.052426386,37.8,59.8,0.1569,0.0488
2002,15,mongolia,4.732978466,0.917074687,6.199999809,118.5172531,2494617,3.808667738,35.2,68.2,0.1587,0.0487
2003,15,mongolia,7.004634574,5.128994994,6.800000191,120.2993935,2516454,6.076081854,32.6,76.6,0.1635,0.0484
2004,15,mongolia,10.62540596,8.241154494,6.822999954,131.3293182,2537949,9.688471017,30,85,0.1675,0.0482
2005,15,mongolia,7.253665441,12.71656741,7.039000034,122.3814599,2559255,6.360770206,30,85,0.171,0.0479
2006,15,mongolia,8.55623481,5.095166617,7.125,112.9299831,2581242,7.631553616,28,99,0.1721,0.0476
2007,15,mongolia,10.24801636,9.630963096,7.199999809,117.8804264,2605643,9.21557951,30,99,0.1686,0.0476
2008,15,mongolia,8.900367947,27.95566502,5.559999943,121.1980134,2633887,7.732594997,30,102,0.1615,0.0481
2009,15,mongolia,-1.268598941,7.619505935,5.860000134,107.8137572,2666713,-2.483936688,27,120,0.154,0.0485
2010,15,mongolia,6.365161685,10.04620659,6.550000191,103.3500317,2702520,4.955878,27,127,0.1627,0.0485
2011,15,mongolia,17.29077758,8.411214953,4.769999981,126.9992286,2743938,15.52034785,27,120,0.1699,0.0481
2012,15,mongolia,12.31981985,14.33033483,3.900000095,109.5885643,2792349,10.37252931,36,93,0.1717,0.0482
2013,15,mongolia,11.64891619,10.49065676,4.230000019,100.3119897,2845153,9.576792346,38,82,0.1682,0.0484
2014,15,mongolia,7.885225481,12.25398081,4.800000191,109.3223119,2902823,5.741883999,39,79,0.1748,0.0483
2015,15,mongolia,2.379835807,5.735682819,4.860000134,89.65366348,2964749,0.241383711,39,72,0.1673,0.0484
2016,15,mongolia,1.489784485,0.733272227,7.239999771,101.0552372,3029555,-0.681209926,38,87,0.1667,0.0484
2017,15,mongolia,5.63687639,4.301431053,6.360000134,115.9329019,3096030,3.368742244,36,103,0.1643,0.0485
2018,15,mongolia,7.74488062,6.824247901,5.380000114,126.3558732,3163991,5.430572573,37,93,0.1641,0.0485
2019,15,mongolia,5.602244219,7.301069536,5.43900013,124.3965146,3232430,3.366368425,35,106,0.1605,0.0485
2020,15,mongolia,-4.557751973,3.796040261,7.010000229,112.8386476,3294335,-6.351240603,35,111,0.1605,0.0485
2021,15,mongolia,1.636769576,7.352812434,7.081999779,119.0980784,3347782,0.014148861,35,110,0.1605,0.0485
1995,16,maldives,7.858646927,5.488861332,0.790000021,165.9792512,258208,5.555867002,33,84,0.3561,0.005
1996,16,maldives,7.858646927,6.241245915,1.029000044,165.9792512,263841,5.555867002,33,84,0.3561,0.005
1997,16,maldives,8.39794083,7.572834671,1.269000053,165.9792512,269040,6.303230399,33,84,0.3561,0.0051
1998,16,maldives,7.494683025,-1.404252338,1.504999995,165.9792512,273796,5.627436197,33,84,0.3561,0.005
1999,16,maldives,6.175655828,2.953708361,1.74000001,165.9792512,278111,4.528299359,33,84,0.3561,0.0053
2000,16,maldives,3.845810392,-1.174756812,1.970000029,165.9792512,282507,2.229899344,33,84,0.3561,0.0053
2001,16,maldives,-3.943634354,0.67257737,2.996999979,165.9792512,287324,-5.554023717,33,84,0.3561,0.0053
2002,16,maldives,7.268386313,4.178672399,4.188000202,165.9792512,292284,5.448063627,33,84,0.3561,0.0054
2003,16,maldives,13.75004982,-1.260651135,5.394000053,165.9792512,297226,11.85871883,33,84,0.3324,0.0106
2004,16,maldives,6.033754049,-1.685412125,6.415999889,165.9792512,302135,4.310949016,33,84,0.3101,0.0174
2005,16,maldives,-13.12905343,1.300275009,7.201000214,165.9792512,307018,-14.51070152,33,84,0.287,0.0257
2006,16,maldives,26.1114935,2.738421316,9.156000137,165.9792512,314401,23.15004886,33,84,0.2634,0.0326
2007,16,maldives,7.713867271,6.794773539,9.868000031,165.9792512,325126,4.160687191,33,84,0.2397,0.0374
2008,16,maldives,9.485332661,12.04145835,11.05599976,165.9792512,336883,5.664364977,28,115,0.2131,0.0434
2009,16,maldives,-7.228841465,4.530176591,11.69999981,165.9792512,349037,-10.45927452,25,130,0.1861,0.0453
2010,16,maldives,7.265129068,6.149885368,11.28800011,165.9792512,361575,3.545595947,23,146,0.1808,0.0451
2011,16,maldives,8.566733531,11.27341461,10.47200012,165.9792512,374440,4.83660046,25,134,0.1712,0.0451
2012,16,maldives,2.517383942,10.88469566,9.472000122,165.9792512,387539,-0.947751727,27.2,126.2,0.1634,0.0452
2013,16,maldives,7.281073979,3.805630009,8.727000237,165.9792512,400728,3.750175003,29.4,118.4,0.1555,0.0452
2014,16,maldives,7.329626203,2.120001757,7.867000103,165.9792512,416738,3.20629856,31.6,110.6,0.1471,0.0453
2015,16,maldives,2.88454853,0.953206659,6.928999901,149.5237853,435582,-1.566407737,33.8,102.8,0.1377,0.0454
2016,16,maldives,6.338300636,0.502509414,6.119999886,149.0524946,454252,1.967739642,36,95,0.1307,0.0455
2017,16,maldives,7.209910123,2.817473382,5.869999886,151.5636455,472442,3.082105514,33,112,0.1308,0.0455
2018,16,maldives,8.123128908,-0.133373386,5.618999958,153.8325542,489758,4.30030192,31,124,0.1308,0.0454
2019,16,maldives,7.097466015,0.220029731,5.340000153,147.8509937,504508,3.966321169,29,130,0.1308,0.0454
2020,16,maldives,-33.49279579,-1.369774256,6.328000069,117.7780717,514438,-34.77655892,43,75,0.1308,0.0454
2021,16,maldives,41.74510055,0.543149689,6.078000069,143.0847531,521457,39.83716018,40,85,0.1308,0.0454
1995,17,vietnam,9.540480175,5.675,1.899000049,74.72126592,73759110,7.672176131,27.9,43,0.167,0.0462
1996,17,vietnam,9.340017496,5.675,1.929999948,92.7057468,74946448,7.607799877,27.9,43,0.1671,0.0462
1997,17,vietnam,8.152084143,3.209526063,2.869999886,94.34448407,76058603,6.570647246,27.9,43,0.1675,0.0461
1998,17,vietnam,5.764455464,7.266198044,2.289999962,97.00124851,77128424,4.297434233,25,74,0.1675,0.046
1999,17,vietnam,4.773586881,4.117102358,2.329999924,102.7874066,78123713,3.438780911,26,75,0.1669,0.0458
2000,17,vietnam,6.787316408,-1.710337279,2.25999999,111.4170944,79001142,5.601279272,25,76,0.1699,0.0456
2001,17,vietnam,6.192893312,-0.431544512,2.75999999,111.955938,79817777,5.106408112,26,75,0.1712,0.0453
2002,17,vietnam,6.320820988,3.830828382,2.119999886,116.6968687,80642308,5.233738847,24,85,0.1699,0.0453
2003,17,vietnam,6.899063492,3.234648173,2.25,124.3279544,81475825,5.805460737,24,100,0.1657,0.0457
2004,17,vietnam,7.536410612,7.754947487,2.140000105,133.0164979,82311227,6.444990452,26,102,0.1643,0.0462
2005,17,vietnam,7.547247727,8.284572431,2.095000029,130.714846,83142095,6.47249051,26,107,0.1618,0.047
2006,17,vietnam,6.977954812,7.418017151,2.086999893,138.3136219,83951800,5.946165322,26.33333333,111.6666667,0.1589,0.0474
2007,17,vietnam,7.129504484,8.344448898,2.029999971,154.605384,84762269,6.105167318,26.66666667,116.3333333,0.1617,0.0474
2008,17,vietnam,5.661771208,23.11544835,1.927000046,154.3174796,85597241,4.631076534,27,121,0.1645,0.0472
2009,17,vietnam,5.397897543,6.7169827,1.74000001,134.7063177,86482923,4.318505017,27,124,0.1824,0.0459
2010,17,vietnam,6.423238217,9.207466488,1.110000014,113.9776951,87411012,5.293286344,27,127,0.1967,0.0447
2011,17,vietnam,6.413177689,18.67773228,1,125.2605893,88349117,5.283265615,29,112,0.1806,0.0463
2012,17,vietnam,5.50454562,9.094703396,1.029999971,123.2241255,89301326,4.379563692,31,122,0.1651,0.0474
2013,17,vietnam,5.553500245,6.592674759,1.320000052,130.8463436,90267739,4.42343677,31,115,0.1626,0.0475
2014,17,vietnam,6.422246656,4.084554466,1.25999999,135.4105118,91235504,5.293390881,31,118,0.1614,0.0478
2015,17,vietnam,6.987166724,0.631200905,1.850000024,144.9142203,92191398,5.877861594,31,111,0.1631,0.0477
2016,17,vietnam,6.690009213,2.66824817,1.850000024,145.4095071,93126529,5.618680387,33,113,0.1651,0.0476
2017,17,vietnam,6.940187782,3.520256888,1.870000005,160.980072,94033048,5.909238407,35,107,0.1612,0.0474
2018,17,vietnam,7.464991257,3.539628059,1.159999967,164.6639398,94914330,6.467176044,33,117,0.1574,0.0468
2019,17,vietnam,7.359281,2.795823675,2.039999962,164.7042207,95776716,6.392604079,37,96,0.1574,0.0466
2020,17,vietnam,2.865411946,3.220934367,2.390000105,163.2458574,96648685,1.937355342,36,104,0.1574,0.0469
2021,17,vietnam,2.561551142,1.834715548,2.165999889,186.4681832,97468029,1.699389545,39,87,0.1574,0.0465
1995,18,malaysia,9.829085197,3.450575096,3.150000095,192.1132003,20136888,6.839216203,52.8,23,0.1966,0.0415
1996,18,malaysia,10.00270069,3.488559459,2.519999981,181.7669825,20689051,7.066876263,53.2,26,0.1979,0.0416
1997,18,malaysia,7.32274185,2.662514597,2.450000048,185.6651112,21249178,4.493721103,50.1,32,0.1989,0.0417
1998,18,malaysia,-7.359415188,5.270342003,3.200000048,209.4922028,21810542,-9.743816697,53,29,0.1964,0.0417
1999,18,malaysia,6.137612011,2.744561302,3.430000067,217.5709194,22368655,3.489407143,51,32,0.1941,0.0418
2000,18,malaysia,8.85886817,1.534740237,3,220.406789,22945150,6.123798091,48,36,0.192,0.0419
2001,18,malaysia,0.517675319,1.416784732,3.529999971,203.364636,23542517,-2.032856646,50,36,0.1901,0.042
2002,18,malaysia,5.390988307,1.807872463,3.480000019,199.3562327,24142445,2.772073577,49,33,0.1884,0.042
2003,18,malaysia,5.788499286,1.089676326,3.609999895,194.1951291,24739411,3.23580564,52,37,0.1788,0.0422
2004,18,malaysia,6.783437724,1.421271159,3.539999962,210.3742659,25333247,4.28032987,50,39,0.1691,0.0424
2005,18,malaysia,5.332139161,2.975070927,3.529999971,203.8546446,25923536,2.933685374,51,39,0.1732,0.0421
2006,18,malaysia,5.584847067,3.609235642,3.309999943,202.5771468,26509413,3.25134638,50,44,0.1772,0.0417
2007,18,malaysia,6.298785927,2.027353178,3.230000019,192.4655064,27092604,4.0106155,51,43,0.1813,0.0416
2008,18,malaysia,4.831769889,5.440782211,3.319999933,176.6683248,27664296,2.665386035,51,47,0.1809,0.0423
2009,18,malaysia,-1.513528716,0.583308406,3.660000086,162.5589705,28217204,-3.443342806,45,56,0.1805,0.043
2010,18,malaysia,7.424847383,1.622852356,3.390000105,157.9447649,28717731,5.552518522,44,59,0.1752,0.0434
2011,18,malaysia,5.293912834,3.174470922,3.049999952,154.9376846,29184133,3.611173397,43,60,0.1699,0.0438
2012,18,malaysia,5.473454193,1.663571025,3.099999905,147.8417548,29660212,3.780489334,49,53,0.1646,0.0443
2013,18,malaysia,4.693722526,2.105012312,3.160000086,142.7209915,30134807,3.044894403,50,52,0.1566,0.0447
2014,18,malaysia,6.006721946,3.142990509,2.880000114,138.3122312,30606459,4.373135962,52,50,0.1487,0.0451
2015,18,malaysia,5.091532422,2.104389802,3.099999905,131.3700517,31068833,3.527534436,50,54,0.1487,0.0451
2016,18,malaysia,4.449781398,2.090566595,3.440000057,126.8989788,31526418,2.933762254,49,55,0.1487,0.0451
2017,18,malaysia,5.81272241,3.871201158,3.410000086,133.1551909,31975806,4.325630335,47,62,0.1487,0.0452
2018,18,malaysia,4.843086976,0.884709161,3.299999952,130.4025529,32399271,3.472766705,47,61,0.1487,0.0452
2019,18,malaysia,4.413190208,0.662891866,3.25999999,123.0285086,32804020,3.124898885,53,51,0.1487,0.0453
2020,18,malaysia,-5.534456218,-1.138702154,4.504000187,116.8285614,33199993,-6.661137322,51,57,0.1487,0.0454
2021,18,malaysia,3.09215965,2.477102415,4.609000206,130.5697916,33573874,1.944118177,48,62,0.1487,0.0454
1995,19,myanmar,7.203455396,25.1947124,0.694000006,18.8008859,42880186,5.845725023,16,129,0.2649,0.0299
1996,19,myanmar,6.686900342,16.27539664,0.702000022,18.8008859,43423369,5.352353716,16,129,0.2649,0.0299
1997,19,myanmar,6.034804228,29.69723258,0.712000012,18.8008859,43972046,4.711716867,16,129,0.2649,0.0299
1998,19,myanmar,5.761847221,51.48754975,0.713999987,18.8008859,44516185,4.46907818,16,129,0.2649,0.0299
1999,19,myanmar,8.478034119,18.40104337,0.671000004,18.8008859,45041636,7.212540754,16,129,0.2649,0.03
2000,19,myanmar,12.41819164,-0.109165515,0.651000023,18.8008859,45538332,11.19202319,16,129,0.2649,0.0294
2001,19,myanmar,12.46773004,21.10130538,0.674000025,18.8008859,46014826,11.30310109,16,129,0.2649,0.029
2002,19,myanmar,11.70304562,57.07451126,0.671999991,18.8008859,46480230,10.58456914,16,129,0.2649,0.0291
2003,19,myanmar,12.98632489,36.58971753,0.660000026,18.8008859,46924293,11.91709096,16,129,0.2649,0.0297
2004,19,myanmar,13.69528734,4.534213741,0.666000009,18.8008859,47338446,12.70059385,17,142,0.2649,0.029
2005,19,myanmar,13.56694201,9.368618142,0.66900003,18.8008859,47724471,12.64834243,18,155,0.2649,0.029
2006,19,myanmar,13.30686931,19.99648734,0.676999986,18.8008859,48088274,12.44966701,19,160,0.2649,0.0293
2007,19,myanmar,12.50048629,35.02459707,0.689999998,18.8008859,48445647,11.67059468,14,179,0.2649,0.0297
2008,19,myanmar,11.07426765,26.79953719,0.708999991,18.8008859,48729486,10.42728342,13,178,0.2649,0.0291
2009,19,myanmar,10.4098444,1.472343114,0.711000025,18.8008859,49015836,9.76483125,14,178,0.2649,0.0298
2010,19,myanmar,10.06928609,7.718381959,0.72299999,18.8008859,49390988,9.233248702,14,176,0.2649,0.0291
2011,19,myanmar,7.520057227,5.021460146,0.76700002,16.1315685,49794522,6.648716424,15,180,0.2649,0.0294
2012,19,myanmar,6.485754004,1.467583227,0.753000021,11.85539813,50218185,5.587392704,15,171,0.2649,0.0298
2013,19,myanmar,7.898669478,5.643038834,0.746999979,30.98310551,50648334,6.982301631,21,156,0.2649,0.0299
2014,19,myanmar,8.19966375,4.953299185,0.754999995,40.52801627,51072436,7.301181176,21,155,0.2649,0.0298
2015,19,myanmar,3.277279417,9.454171895,0.769999981,44.94722836,51483949,2.451780521,22,147,0.2649,0.0297
2016,19,myanmar,10.50778078,6.928825258,1.177000046,53.91504376,51892349,9.638069185,28,136,0.2157,0.0293
2017,19,myanmar,5.7500645,4.572536553,1.559999943,61.02148174,52288341,4.949194197,30,130,0.1671,0.0292
2018,19,myanmar,6.404977325,6.872328657,0.870000005,62.44890703,52666014,5.641937103,29,132,0.1666,0.0292
2019,19,myanmar,6.750460146,8.825066968,0.5,60.68898922,53040212,5.99733705,29,130,0.1666,0.0292
2020,19,myanmar,3.1737744,8.825066968,1.057999969,55.10412933,53423198,2.434131087,28,137,0.1666,0.0292
2021,19,myanmar,-17.9129448,8.825066968,2.173000097,53.10430966,53798084,-18.48495937,28,140,0.1666,0.0292
1995,20,papua new guinea,-3.312448778,17.28093268,2.838000059,104.739981,4616439,-6.762898492,21,118,0.1806,0.0472
1996,20,papua new guinea,7.733695798,11.62417829,2.654999971,107.8033526,4785895,3.919127957,21,118,0.1806,0.0469
1997,20,papua new guinea,-3.904389656,3.964378052,2.887000084,99.20797503,4960439,-7.285725907,21,118,0.1787,0.0474
1998,20,papua new guinea,-3.769113218,13.57419177,2.904000044,102.8609321,5138829,-7.109685144,21,118,0.1773,0.048
1999,20,papua new guinea,1.855553994,14.93218174,2.816999912,116.0068021,5321388,-1.638768931,21,118,0.1762,0.0485
2000,20,papua new guinea,-2.494841993,15.59589331,2.920000076,115.421838,5508297,-5.803412968,21,118,0.1754,0.0484
2001,20,papua new guinea,-0.121288606,9.298173328,2.803999901,117.5803671,5698489,-3.454827001,21,118,0.1739,0.0483
2002,20,papua new guinea,-0.158900533,11.7994471,2.733999968,118.9191103,5892596,-3.447749165,21,118,0.173,0.0481
2003,20,papua new guinea,2.164102502,14.70907797,2.621000051,123.449069,6090980,-1.163395423,21,118,0.172,0.0477
2004,20,papua new guinea,2.721175741,2.158931313,2.540999889,131.082911,6293166,-0.579036527,26,102,0.1705,0.0475
2005,20,papua new guinea,6.344795923,1.780804399,2.40899992,131.082911,6498818,2.979565512,23,130,0.1696,0.0471
2006,20,papua new guinea,5.409944091,2.368462384,2.355000019,131.082911,6708217,2.119541159,24,130,0.1688,0.047
2007,20,papua new guinea,7.815189229,0.911350456,2.244999886,131.082911,6921066,4.499463701,20,162,0.1674,0.0469
2008,20,papua new guinea,-0.296457846,10.76141823,2.311000109,131.082911,7137988,-3.326428164,20,151,0.1651,0.0473
2009,20,papua new guinea,6.800421483,6.918325326,2.121999979,131.082911,7358890,3.594445214,21,154,0.1621,0.0475
2010,20,papua new guinea,10.12845407,6.013608936,2,131.082911,7583269,6.869897321,21,154,0.1638,0.0478
2011,20,papua new guinea,1.107543626,4.44083401,2.619999886,131.082911,7806637,-1.785403722,22,154,0.164,0.0483
